Source,Description,Category,URL
Australian Competition and Consumer Commission (ACCC), Cancellation rate data,Regulator,https://www.accc.gov.au/about-us/publications/serial-publications/domestic-airline-competition-monitoring-reports 
Bureau of Infrastructure Transport and Regional Economics (BITRE), Cancellation rate data and domestic routes,Government,https://www.bitre.gov.au/publications/ongoing/airline_on_time_monthly 
Qantas Airways  Annual Report 2022,"Employee volume, turnover and load factor ",Annual Report,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2022-Annual-Report.pdf 
Qantas Airways Annual Report 2023,"Employee volume, turnover and load factor ",Annual Report,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2023-Annual-Report.pdf 
Qantas Airways Annual Report 2024,"Employee volume, turnover and load factor ",Annual Report,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2024-Annual-Report.pdf 
Qantas Airways Annual Report 2025,"Employee volume, turnover and load factor ",Annual Report,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/2025-Annual-Report.pdf 
Qantas Airways Sustainability Report 2022,"Employee volume, turnover and load factor ",Sustainability,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/QAN_2022_Sustainability_Report.pdf 
Qantas Airways Sustainability Report 2023,"Employee volume, turnover and load factor ",Sustainability,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/QAN_2023_Sustainability_Report.pdf 
Qantas Airways Sustainability Report 2024,"Employee volume, turnover and load factor ",Sustainability,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/QAN_2024_Sustainability_Report.pdf 
Qantas Airways Sustainability Report 2025,"Employee volume, turnover and load factor ",Sustainability,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/QAN_2025_Sustainability_Report.pdf 
Virgin Australia Annual Report FY25,"Employee volume, turnover and load factor ",Annual Report,https://www.virginaustralia.com/content/dam/vaa/documents/investor-centre/vgn-annual-report-fy25.pdf 
Virgin Australia  Sustainability Report 2022,"Employee volume, turnover and load factor ",Sustainability,https://www.virginaustralia.com/content/dam/vaa/docs/2022-sustainability-report.pdf 
Virgin Australia  Sustainability Report 2023,"Employee volume, turnover and load factor ",Sustainability,https://www.virginaustralia.com/content/dam/vaa/documents/reports/Virgin-Australia-Sustainability-Report-2023.pdf 
Virgin Australia  Sustainability Report 2024,"Employee volume, turnover and load factor ",Sustainability,https://www.virginaustralia.com/content/dam/vaa/documents/reports/sustainability/virgin-australia-sustainability-report-2024.pdf 
Virgin Australia  Sustainability Report 2025,"Employee volume, turnover and load factor ",Sustainability,https://www.virginaustralia.com/content/dam/vaa/documents/reports/sustainability/virgin-australia-sustainability-report-2025.pdf 
AirlineRatings.com,World's Best Cabin Crew Award 2026 ,Industry Award,https://www.airlineratings.com/articles/worlds-best-airline-cabin-awards-2026 
